MNTH,Day,Year,MAX,MIN,AVG, DEP,HDD,CDD,WTR,SNW, DPTH,AVGSPD,MAXSPD,DIR, MIN,PSBL, S-S,WX,SPD ,DR
1,1,2021,49,35,38,-7,27,e 9.91,0.01,e.e,e 14.9 23 31e,14.9,23,,M,M,19 1,31 32e,,
1,2,2021,56,36,46,1,19,e e.ee,0,e.e,e,7.9,17,,M,M,4,23 33e,,
1,3,2021,65,36,51,6,14,e e.ee,0,e.e,e,9.9,20,,M,M,1,28 21e,,
1,4,2021,65,34,59,5,15,e e.ee,0,e.e,e,4.9,12,,M,M,3,15,le,
1,5,2021,66,36,51,6,14,e e.ee,0,e.e,e,8.3,17,,M,m,4,23 15e,,
1,6,2021,60,46,53,8,12,e,0.2,e.e,e 16.6 28 32e,16.6,28,,M,M,9,37 28e,,
1,7,2021,48,43,46,,19,e e. el,0.01,e.e,e 16.1 26 33e,16.1,26,,M,M,10,37 32e,,
1,8,2021,50,33,42,-4,23,e e.ee,0,e.e,e,8.9,17,,M,M,6,29 35e,,
1,9,2021,49,29,39,,26,e e.ee,0,e.e,e,5.5,12,se,M,M,4,17 Ile,,
1,16,2021,39,33,36,,29,e 9.12,0.12,T,e,8.7,17,33e,M,M,19 1,23 33e,,
1,11,2021,48,32,40,-6,25,e e. ee,0,e.e,e,6.7,14,2e,M,m,4,18 36e,,
1,12,2021,53,27,40,-6,25,e e.ee,0,e.e,e,6.6,15,2ee,M,M,4,21 26e,,
1,13,2021,64,31,48,2,17,e e.ee,0,e.e,e IO.7,10.7,28,19e,M,M,2,23 19e,,
1,14,2021,64,34,49,3,16,e e.ee,0,e.e,e 15.9,15.9,33,35e,M,M,4,46 36e,,
1,15,2021,53,42,48,2,17,e e.ee,0,e.e,e 18.7,18.7,37,33e,M,M,1,49 31e,,
1,16,2021,57,34,46,e,19,e e.ee,0,e.e,e,7.6,16,31e,M,M,4,23 3ee,,
1,17,2021,69,38,49,3,16,e e.ee,0,e.e,e,8.5,16,33e,M,M,3,26 33e,,
1,18,2021,68,33,51,5,14,e e.ee,0,e.e,e,9.2,25,199,M,M,4,32 18e,,
1,19,2021,69,50,55,9,19,e 9.91,0.01,e.e,e,13.4,21,le,M,M,19,28,le,
1,26,2021,59,43,47,,18,e e.42,0.42,e.e,e,5.1,17,le,M,M,19 1,23,le,
1,21,2021,54,45,59,4,15,e 9.94,0.04,e.e,e,4.4,22,,M,M,9 12,27 17e,,
