Date,Aceraceae (maple family),Betulaceae (birch family),Asteraceae (aster family),Arecaceae,Asteraceae (aster family),Asteraceae (aster family),Betulaceae (birch family),Betulaceae,Juglandaceae (walnut family),Ulmaceae,goosefoot/amaranth family,Betulaceae,"juniper family, cedar",sedge family,Asteraceae,Fagaceae (beech family),Oleaceae (olive family),Gramineae / Poaceae,Juglandaceae (walnut family),Oleaceae,Hamamelidaceae (witch-hazel family),Moraceae (mulberry family),Oleaceae (olive family),,,,Pinaceae (pine family),Plantaginaceae (plantain family),Platanaceae (plane-tree family),Salicaceae (willow family),Fabaceae,Fagaceae (beech family),Polygonaceae (buckwheat family),Salicaceae (willow family),Tiliaceae (linden family),Ulmaceae (elm family),,Urticaceae (nettle family),,Station Name,Station City,Station State,Station Postal Code,Station Country
Date,Acer,Alnus,Ambrosia,Arecaceae,Artemisia,Asteraceae (Excluding Ambrosia and Artemisia),Betula,Carpinus/Ostrya,Carya,Celtis,Chenopodiaceae/Amaranthaceae ,Corylus,Cupressaceae,Cyperaceae,Eupatorium,Fagus,Fraxinus,Gramineae / Poaceae,Juglans,Ligustrum,Liquidambar,Morus,Olea,Other Grass Pollen,Other Tree Pollen,Other Weed Pollen,Pinaceae,Plantago,Platanus,Populus,Prosopis,Quercus,Rumex,Salix,Tilia,Ulmus,Unidentified Pollen,Urticaceae,Unidentified Fungi,,,,,
12/23/2023,,,,,,,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,2118,North Texas Pollen Station,Flower Mound,TX,75022,US
3/30/2022,2,,,,,,,,,58,,,86,,,,102,9,,,4,4,,,,,19,,,4,,255,,,,28,,,2593,North Texas Pollen Station,Flower Mound,TX,75022,US
11/1/2021,,,2,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,2520,North Texas Pollen Station,Flower Mound,TX,75022,US
2/4/2022,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,648,North Texas Pollen Station,Flower Mound,TX,75022,US
4/2/2023,15,,,,,,,,,11,,,26,,,,105,4,2,,,43,,,,,11,,166,2,,1071,3,162,,,,,2222,North Texas Pollen Station,Flower Mound,TX,75022,US
9/5/2023,,,9,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3837,North Texas Pollen Station,Flower Mound,TX,75022,US
3/8/2022,,,,,,,,,,,,,78,,,,,,,,,,,,,,,,,,,,,,,78,,,1037,North Texas Pollen Station,Flower Mound,TX,75022,US
11/20/2022,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1621,North Texas Pollen Station,Flower Mound,TX,75022,US
10/11/2023,,,206,,,,,,,,1,,2,,,,,2,,,,,,,,,,,,,,,,,,551,,,3891,North Texas Pollen Station,Flower Mound,TX,75022,US
11/5/2022,,,2,,,,,,,,2,,,,,,,13,,,,,,,,,,,,,,,,,,,,,2204,North Texas Pollen Station,Flower Mound,TX,75022,US
11/6/2022,,,2,,,,,,,,,,9,,,,,2,,,,,,,,,,,,,,,,,,9,,,3350,North Texas Pollen Station,Flower Mound,TX,75022,US
