Day,Month,Year,MAX,MIN,AVG,WTR,AVGSPD,MAXSPD,PollenCnt
1,1,2021,49.0,35.0,38.0,0.01,14.9,23.0,2
2,1,2021,56.0,36.0,46.0,0.0,7.9,17.0,0
3,1,2021,65.0,36.0,51.0,0.0,9.9,20.0,233
4,1,2021,65.0,34.0,59.0,0.0,4.9,12.0,11
5,1,2021,66.0,36.0,51.0,0.0,8.3,17.0,45
6,1,2021,60.0,46.0,53.0,0.2,16.6,28.0,1605
7,1,2021,48.0,43.0,46.0,0.01,16.1,26.0,400
8,1,2021,50.0,33.0,42.0,0.0,8.9,17.0,9
9,1,2021,49.0,29.0,39.0,0.0,5.5,12.0,15
16,1,2021,39.0,33.0,36.0,0.12,8.7,17.0,22
11,1,2021,48.0,32.0,40.0,0.0,6.7,14.0,2
12,1,2021,53.0,27.0,40.0,0.0,6.6,15.0,2
13,1,2021,64.0,31.0,48.0,0.0,10.7,28.0,37
14,1,2021,64.0,34.0,49.0,0.0,15.9,33.0,1566
15,1,2021,53.0,42.0,48.0,0.0,18.7,37.0,36
16,1,2021,57.0,34.0,46.0,0.0,7.6,16.0,22
17,1,2021,69.0,38.0,49.0,0.0,8.5,16.0,4
18,1,2021,68.0,33.0,51.0,0.0,9.2,25.0,147
19,1,2021,69.0,50.0,55.0,0.01,13.4,21.0,458
26,1,2021,59.0,43.0,47.0,0.42,5.1,17.0,352
21,1,2021,54.0,45.0,59.0,0.04,4.4,22.0,54
22,1,2021,52.0,45.0,49.0,0.2,6.5,13.0,9
23,1,2021,52.0,48.0,50.0,0.01,7.8,13.0,30
24,1,2021,63.0,51.0,57.0,0.1,6.8,14.0,32
25,1,2021,68.0,49.0,59.0,0.02,12.7,29.0,136
26,1,2021,56.0,37.0,47.0,0.2,11.3,24.0,352
27,1,2021,50.0,33.0,42.0,0.2,11.9,23.0,119
28,1,2021,49.0,27.0,38.0,0.0,5.5,12.0,2
29,1,2021,62.0,34.0,48.0,0.0,11.3,22.0,37
30,1,2021,75.0,54.0,65.0,0.11,19.6,49.0,360
31,1,2021,58.0,41.0,50.0,0.0,17.2,32.0,138
1,2,2021,59.0,34.0,47.0,0.0,7.0,14.0,8
2,2,2021,64.0,39.0,52.0,0.0,8.0,16.0,17
3,2,2021,72.0,39.0,56.0,0.0,14.9,28.0,272
4,2,2021,64.0,44.0,54.0,0.0,16.0,29.0,557
5,2,2021,58.0,37.0,48.0,0.0,6.1,13.0,36
6,2,2021,59.0,38.0,49.0,0.0,11.6,24.0,339
7,2,2021,57.0,35.0,46.0,0.0,9.2,18.0,39
8,2,2021,67.0,39.0,53.0,0.0,13.8,24.0,190
9,2,2021,39.0,30.0,35.0,2.0,12.4,18.0,102
10,2,2021,31.0,28.0,30.0,2.0,13.7,21.0,6
11,2,2021,29.0,24.0,27.0,2.0,15.1,22.0,26
12,2,2021,26.0,21.0,24.0,2.0,15.5,21.0,52
13,2,2021,33.0,20.0,27.0,2.0,15.4,22.0,22
14,2,2021,22.0,9.0,16.0,0.14,18.3,25.0,82
15,2,2021,14.0,4.0,9.0,0.05,18.4,30.0,24
16,2,2021,18.0,-2.0,8.0,0.02,6.8,16.0,8
17,2,2021,27.0,18.0,23.0,0.16,9.0,15.0,0
18,2,2021,31.0,22.0,27.0,0.0,14.5,21.0,0
19,2,2021,40.0,15.0,28.0,0.0,6.5,14.0,0
20,2,2021,56.0,22.0,39.0,0.0,10.7,22.0,23
21,2,2021,74.0,44.0,59.0,0.0,16.0,24.0,162
22,2,2021,71.0,34.0,53.0,0.0,7.1,20.0,67
23,2,2021,81.0,42.0,62.0,0.0,16.1,29.0,767
24,2,2021,72.0,51.0,62.0,0.0,13.8,25.0,2308
25,2,2021,53.0,45.0,49.0,0.69,11.3,24.0,389
26,2,2021,57.0,46.0,52.0,1.05,4.8,17.0,81
27,2,2021,71.0,50.0,61.0,0.01,8.2,17.0,211
28,2,2021,77.0,51.0,64.0,0.09,13.5,24.0,2166
1,3,2021,59.0,43.0,51.0,0.19,11.0,24.0,1605
2,3,2021,63.0,39.0,51.0,0.0,3.8,12.0,368
3,3,2021,70.0,36.0,53.0,0.0,7.5,16.0,454
4,3,2021,74.0,46.0,60.0,0.0,11.6,23.0,2328
5,3,2021,71.0,50.0,61.0,0.0,12.6,23.0,1718
6,3,2021,65.0,42.0,54.0,0.0,7.9,14.0,1193
7,3,2021,68.0,44.0,56.0,0.0,7.9,20.0,335
8,3,2021,71.0,43.0,57.0,0.0,10.9,22.0,397
9,3,2021,71.0,56.0,64.0,2.0,18.0,29.0,551
10,3,2021,76.0,62.0,69.0,0.0,20.5,30.0,469
11,3,2021,77.0,68.0,73.0,0.0,17.2,31.0,466
12,3,2021,79.0,67.0,73.0,2.0,14.5,25.0,203
13,3,2021,79.0,66.0,73.0,2.0,16.1,28.0,446
14,3,2021,75.0,53.0,64.0,0.07,11.4,36.0,617
15,3,2021,80.0,48.0,64.0,0.0,9.6,24.0,232
16,3,2021,83.0,57.0,70.0,0.0,11.8,24.0,642
17,3,2021,71.0,46.0,59.0,1.24,18.6,40.0,681
18,3,2021,61.0,43.0,52.0,0.0,18.2,26.0,127
19,3,2021,65.0,41.0,53.0,0.0,11.3,20.0,166
20,3,2021,68.0,42.0,55.0,0.0,8.0,17.0,596
21,3,2021,70.0,43.0,57.0,0.0,13.4,22.0,1678
22,3,2021,63.0,55.0,59.0,1.13,14.0,29.0,1719
23,3,2021,75.0,48.0,62.0,0.0,9.7,22.0,629
24,3,2021,77.0,51.0,64.0,0.17,10.3,28.0,1317
25,3,2021,68.0,52.0,69.0,0.43,10.0,25.0,1461
26,3,2021,79.0,52.0,66.0,0.0,10.4,23.0,2274
27,3,2021,81.0,62.0,72.0,2.0,12.6,29.0,3969
28,3,2021,71.0,54.0,63.0,0.0,12.4,25.0,2983
29,3,2021,79.0,52.0,66.0,0.0,12.6,20.0,2299
30,3,2021,79.0,59.0,69.0,2.0,14.4,25.0,2747
31,3,2021,69.0,50.0,60.0,2.0,18.2,30.0,3153
1,4,2021,79.0,42.0,56.0,0.0,3.9,12.0,1293
2,4,2021,76.0,45.0,58.0,0.0,19.2,22.0,2466
3,4,2021,73.0,57.0,65.0,0.0,12.8,22.0,3103
4,4,2021,75.0,69.0,68.0,0.0,11.4,17.0,3769
5,4,2021,79.0,56.0,68.0,0.0,13.7,24.0,4124
6,4,2021,83.0,65.0,74.0,0.0,21.6,33.0,5407
7,4,2021,80.0,60.0,70.0,0.0,16.7,38.0,4864
8,4,2021,85.0,49.0,67.0,0.0,7.9,21.0,2600
9,4,2021,86.0,62.0,74.0,0.0,15.0,49.0,3286
10,4,2021,74.0,52.0,63.0,0.0,12.7,25.0,2851
11,4,2021,87.0,49.0,68.0,0.0,10.2,22.0,985
12,4,2021,87.0,62.0,75.0,0.0,11.1,23.0,1012
13,4,2021,89.0,56.0,68.0,0.31,12.2,26.0,1754
14,4,2021,74.0,57.0,66.0,0.01,12.7,23.0,1824
15,4,2021,62.0,56.0,59.0,0.56,10.3,23.0,472
16,4,2021,61.0,52.0,57.0,0.84,9.8,26.0,52
17,4,2021,62.0,48.0,55.0,0.0,14.8,22.0,356
18,4,2021,79.0,45.0,58.0,0.0,8.8,21.0,378
19,4,2021,74.0,44.0,59.0,0.0,7.4,15.0,212
20,4,2021,62.0,48.0,51.0,0.0,14.2,24.0,517
21,4,2021,62.0,37.0,50.0,0.0,4.8,14.0,556
22,4,2021,65.0,54.0,69.0,2.0,8.9,20.0,133
23,4,2021,72.0,58.0,65.0,0.88,11.7,30.0,170
24,4,2021,74.0,56.0,65.0,0.0,18.5,22.0,65
25,4,2021,83.0,56.0,67.0,0.0,19.7,21.0,115
26,4,2021,83.0,64.0,74.0,0.0,18.1,28.0,379
27,4,2021,76.0,69.0,73.0,2.0,17.3,25.0,324
28,4,2021,82.0,72.0,77.0,0.19,9.0,23.0,270
29,4,2021,72.0,65.0,69.0,1.41,11.8,24.0,136
30,4,2021,68.0,61.0,65.0,0.3,10.1,18.0,273
1,5,2021,74.0,63.0,69.0,0.02,7.5,17.0,77
2,5,2021,82.0,65.0,74.0,0.04,9.4,17.0,72
3,5,2021,92.0,69.0,81.0,0.07,13.6,23.0,235
4,5,2021,77.0,55.0,66.0,0.0,12.7,24.0,260
5,5,2021,77.0,52.0,65.0,0.0,5.0,14.0,138
