Day,Month,Year,MAX,MIN,AVG,WTR,AVGSPD,MAXSPD,PollenCnt
1,1,2023,78.0,51.0,65.0,0.0,11.5,18.0,2801
2,1,2023,78.0,64.0,71.0,0.2,12.7,28.0,942
3,1,2023,69.0,44.0,57.0,0.2,10.1,21.0,1871
4,1,2023,59.0,37.0,48.0,0.0,5.0,13.0,61
5,1,2023,62.0,36.0,49.0,0.0,4.6,10.0,9
6,1,2023,70.0,40.0,55.0,0.0,12.2,28.0,73
7,1,2023,64.0,49.0,57.0,0.0,11.6,20.0,929
8,1,2023,61.0,40.0,51.0,0.0,5.6,15.0,78
9,1,2023,70.0,36.0,53.0,0.0,7.7,20.0,157
10,1,2023,83.0,44.0,64.0,0.0,12.3,23.0,1379
11,1,2023,85.0,55.0,70.0,0.0,14.3,24.0,1335
12,1,2023,69.0,40.0,55.0,0.0,18.6,33.0,845
13,1,2023,58.0,33.0,46.0,0.0,6.1,14.0,877
14,1,2023,64.0,36.0,50.0,0.0,11.2,22.0,99
15,1,2023,71.0,47.0,59.0,0.0,18.6,32.0,164
16,1,2023,76.0,57.0,67.0,0.0,14.2,25.0,209
17,1,2023,79.0,49.0,64.0,0.0,7.2,16.0,234
18,1,2023,72.0,57.0,65.0,0.2,12.8,28.0,498
19,1,2023,61.0,43.0,52.0,0.0,10.2,23.0,90
20,1,2023,63.0,39.0,51.0,0.0,6.5,15.0,44
21,1,2023,59.0,45.0,52.0,0.2,9.0,21.0,126
22,1,2023,54.0,37.0,46.0,0.0,11.6,22.0,135
23,1,2023,55.0,33.0,44.0,0.0,5.7,13.0,27
24,1,2023,49.0,35.0,42.0,1.02,13.3,23.0,37
25,1,2023,44.0,37.0,41.0,0.2,12.3,21.0,14
26,1,2023,54.0,32.0,43.0,0.0,9.3,18.0,2
27,1,2023,63.0,31.0,47.0,0.0,12.9,22.0,35
28,1,2023,70.0,45.0,58.0,0.2,13.5,24.0,471
29,1,2023,59.0,30.0,45.0,0.2,14.7,26.0,845
30,1,2023,30.0,26.0,28.0,0.01,15.0,22.0,108
31,1,2023,29.0,25.0,27.0,0.35,13.6,21.0,29
1,2,2023,31.0,28.0,30.0,0.28,8.9,17.0,21
2,2,2023,35.0,31.0,33.0,0.41,8.7,16.0,2
3,2,2023,53.0,30.0,42.0,0.0,5.2,12.0,9
4,2,2023,58.0,32.0,45.0,0.0,10.2,25.0,64
5,2,2023,78.0,42.0,56.0,0.0,7.8,14.0,47
6,2,2023,74.0,47.0,61.0,0.0,16.8,32.0,833
7,2,2023,64.0,47.0,56.0,1.1,12.8,21.0,1013
8,2,2023,49.0,39.0,44.0,1.11,12.5,24.0,13
9,2,2023,64.0,33.0,49.0,0.0,6.1,28.0,43
10,2,2023,58.0,37.0,44.0,0.2,15.8,25.0,321
11,2,2023,56.0,35.0,46.0,0.2,8.1,16.0,24
12,2,2023,68.0,34.0,51.0,0.0,7.6,18.0,78
13,2,2023,66.0,41.0,54.0,0.2,9.7,38.0,765
14,2,2023,71.0,52.0,62.0,0.58,17.2,39.0,802
15,2,2023,77.0,45.0,61.0,0.0,12.6,32.0,631
16,2,2023,57.0,36.0,47.0,0.2,10.7,33.0,644
17,2,2023,51.0,31.0,41.0,0.0,9.0,28.0,117
18,2,2023,53.0,30.0,42.0,0.0,11.7,21.0,125
19,2,2023,72.0,41.0,57.0,0.0,12.4,28.0,360
20,2,2023,88.0,56.0,68.0,0.0,11.7,24.0,1206
21,2,2023,98.0,60.0,75.0,0.0,16.2,38.0,1446
22,2,2023,81.0,59.0,74.0,0.44,15.7,31.0,847
23,2,2023,67.0,45.0,56.0,0.0,16.2,24.0,544
24,2,2023,49.0,42.0,46.0,0.2,12.9,18.0,117
25,2,2023,49.0,39.0,44.0,0.01,5.7,15.0,3
26,2,2023,78.0,47.0,63.0,0.02,12.7,37.0,44
27,2,2023,75.0,54.0,65.0,0.06,9.7,26.0,95
28,2,2023,85.0,48.0,67.0,0.0,9.0,17.0,214
1,3,2023,71.0,57.0,64.0,0.0,8.3,23.0,654
2,3,2023,82.0,54.0,68.0,0.0,11.5,53.0,969
3,3,2023,66.0,46.0,56.0,0.0,10.8,28.0,143
4,3,2023,77.0,43.0,60.0,0.0,9.4,20.0,419
5,3,2023,79.0,50.0,65.0,0.0,13.5,29.0,856
6,3,2023,82.0,58.0,70.0,0.0,10.9,18.0,1108
7,3,2023,74.0,58.0,66.0,0.0,6.5,16.0,1465
8,3,2023,63.0,52.0,58.0,0.01,10.4,22.0,765
9,3,2023,70.0,54.0,62.0,0.52,9.2,23.0,653
10,3,2023,67.0,46.0,57.0,0.0,8.6,21.0,767
11,3,2023,88.0,56.0,72.0,0.0,14.7,25.0,1151
12,3,2023,66.0,50.0,58.0,0.0,18.8,30.0,1807
13,3,2023,60.0,46.0,53.0,0.0,12.5,18.0,345
14,3,2023,63.0,39.0,51.0,0.2,6.5,13.0,403
15,3,2023,69.0,43.0,56.0,0.0,14.8,26.0,1800
16,3,2023,71.0,44.0,58.0,0.95,21.4,38.0,1343
17,3,2023,54.0,40.0,47.0,0.0,16.2,31.0,963
18,3,2023,56.0,38.0,47.0,0.0,10.0,22.0,179
19,3,2023,53.0,31.0,42.0,0.0,6.4,12.0,141
20,3,2023,55.0,37.0,46.0,0.0,14.9,28.0,679
21,3,2023,69.0,50.0,60.0,0.04,15.0,28.0,1127
22,3,2023,83.0,66.0,75.0,0.0,17.9,28.0,1044
23,3,2023,86.0,69.0,78.0,0.0,18.0,29.0,4431
24,3,2023,76.0,61.0,69.0,0.38,11.4,24.0,3084
25,3,2023,77.0,52.0,65.0,0.0,10.4,21.0,1638
26,3,2023,79.0,50.0,65.0,0.0,8.7,26.0,3168
27,3,2023,72.0,47.0,60.0,0.03,7.8,17.0,3145
28,3,2023,64.0,49.0,57.0,0.0,13.2,23.0,2268
29,3,2023,66.0,49.0,58.0,0.0,7.7,15.0,1453
1,4,2023,76.0,55.0,66.0,0.0,9.7,22.0,3559
2,4,2023,80.0,55.0,68.0,0.68,11.0,29.0,1621
3,4,2023,94.0,64.0,79.0,0.0,16.6,25.0,1346
4,4,2023,82.0,72.0,77.0,0.0,19.7,26.0,958
